X,Y,uncorrected mag data (nT),Base station field data (nT),corrected mag data (nT)
-16,4,50651.8,51451.8,
-16,4.5,51066.34,51452.2,
-16,5,51121.33,51452.3,
-16,5.5,51209.91,51451.5,
-16,6,51211.06,51451.5,
-16,6.5,51225.49,51452.1,
-16,7,51282.58,51452.6,
-16,7.5,51286.52,51452.1,
-16,8,51261.99,51452.9,
-16,8.5,51244.5,51451.7,
-16,9,51284,51452.4,
-16,9.5,51298.07,51452.9,
-16,10,51238.52,51451.4,
-16,10.5,51348.62,51452.6,
-16,11,51393.34,51451.1,
-16,11.5,51308.83,51451.6,
-16,12,51726.28,51451.6,
-16,12.5,51713.96,51452.8,
-16,13,51154.95,51451.1,
-16,13.5,51413.61,51453,
-16,14,51437.03,51451.8,
-16,14.5,51377.19,51451.6,
-16,15,51313.66,51452.5,
-16,15.5,51506.81,51451.2,
-16,16,51367.34,51452.1,
-16,16.5,51426.98,51452.9,
-16,17,51514.76,51452.5,
-16,17.5,51416.21,51451.4,
-16,18,51436.96,51451.9,
-16,18.5,51434.03,51451.9,
-16,19,51445.56,51451.4,
-16,19.5,51434.87,51451.5,
-16,20,51435.06,51451.1,
-16,20.5,51431.71,51452.3,
-16,21,51430.34,51452.7,
-16,21.5,51418.67,51452.9,
-16,22,51385.27,51451.8,
-16,22.5,51410.49,51452.5,
-16,23,51407.1,51451.4,
-16,23.5,51392.73,51452.5,
-16,24,51414.6,51452.4,
-16,24.5,51425.39,51452.8,
-16,25,51514.86,51451.1,
-16,25.5,51176.38,51451.7,
-16,26,51369.54,51452,
-16,26.5,51363.88,51451.6,
-16,27,51357.94,51451.5,
-16,27.5,51367.69,51452.8,
-16,28,51365.38,51451.4,
